Configuration	429IIT6
STM32CubeMX 	4.24.0
Date	02/22/2018
MCU	STM32F429IITx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN0	ADC1_IN0	PA0/WKUP
DAC	DAC_OUT2	DAC_OUT2	PA5
ETH	MII	ETH_COL	PH3
ETH	MII	ETH_CRS	PH2
ETH	MII	ETH_MDC	PC1
ETH	MII	ETH_MDIO	PA2
ETH	MII	ETH_RXD0	PC4
ETH	MII	ETH_RXD1	PC5
ETH	MII	ETH_RXD2	PH6
ETH	MII	ETH_RXD3	PB1
ETH	MII	ETH_RX_CLK	PA1
ETH	MII	ETH_RX_DV	PA7
ETH	MII	ETH_TXD0	PB12
ETH	MII	ETH_TXD1	PG14
ETH	MII	ETH_TXD2	PC2
ETH	MII	ETH_TXD3	PE2
ETH	MII	ETH_TX_CLK	PC3
ETH	MII	ETH_TX_EN	PB11
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	NE1	FMC_NE1	PD7
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	NOR Flash	FMC_NOE	PD4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	NOR Flash	FMC_NWE	PD5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A0	PF0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A1	PF1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A2	PF2
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A3	PF3
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A4	PF4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A5	PF5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A6	PF12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A7	PF13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A8	PF14
